protein_id,algorithm,time,score,checked,placed,hash
0,bnb_dfs,6.008148193359375e-05,0,1,16,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
1,bnb_dfs,0.005931377410888672,-2,3,1577,"[-1, -1, 2, 2, 2, 2, 1, -2, -2]"
2,bnb_dfs,0.002703428268432617,-4,5,777,"[-1, -2, -1, -2, -2, 1, 2, 1, 2]"
3,bnb_dfs,0.0011594295501708984,-2,3,320,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
4,bnb_dfs,0.0015113353729248047,-4,5,479,"[-1, -2, 1, 1, -2, -1, -1, -1, 2]"
5,bnb_dfs,0.0002493858337402344,-2,3,86,"[-1, -1, 2, -1, -2, -2, 1, 1, 1]"
6,bnb_dfs,0.0009641647338867188,-3,4,339,"[-1, -1, 2, 2, -1, -2, -1, -2, 1]"
7,bnb_dfs,0.0046312808990478516,0,1,1575,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
8,bnb_dfs,0.0011749267578125,-2,3,360,"[-1, -1, 2, -1, -1, -2, 1, -2, 1]"
9,bnb_dfs,0.000209808349609375,-2,3,67,"[-1, -1, 2, 2, -1, -1, -2, 1, -2]"
10,bnb_dfs,0.0024635791778564453,-4,4,788,"[-1, -1, 2, -1, 2, 1, 1, -2, 1]"
11,bnb_dfs,0.0027387142181396484,-3,4,866,"[-1, -1, 2, 1, 1, 2, 1, -2, -2]"
12,bnb_dfs,0.0031702518463134766,-4,4,863,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
13,bnb_dfs,9.131431579589844e-05,0,1,32,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
14,bnb_dfs,0.00026798248291015625,-3,4,90,"[-1, -1, 2, 1, 2, 2, -1, -2, -1]"
15,bnb_dfs,0.0030596256256103516,-3,4,882,"[-1, -1, 2, 1, 1, 2, 1, -2, -2]"
16,bnb_dfs,0.00061798095703125,-3,3,225,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
17,bnb_dfs,0.0010957717895507812,-3,4,392,"[-1, -1, 2, 1, 2, 1, 1, -2, -1]"
18,bnb_dfs,0.0016431808471679688,-4,5,508,"[-1, -2, 1, 1, 1, 2, 2, -1, -2]"
19,bnb_dfs,0.005650520324707031,-1,2,1576,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
20,bnb_dfs,0.0003039836883544922,-2,3,113,"[-1, -1, 2, 1, 1, 2, 1, -2, 1]"
21,bnb_dfs,0.0010771751403808594,-4,5,334,"[-1, -1, 2, 2, 1, -2, 1, 1, -2]"
22,bnb_dfs,0.002569913864135742,-4,4,710,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
23,bnb_dfs,0.0008611679077148438,-3,4,247,"[-1, -1, 2, -1, -2, -2, 1, 1, 1]"
24,bnb_dfs,0.0005817413330078125,-2,3,185,"[-1, -2, -1, -2, 1, 1, 2, 1, 2]"
25,bnb_dfs,0.00418400764465332,-2,3,1577,"[-1, -1, 2, -1, -2, -1, -2, 1, 1]"
26,bnb_dfs,0.0002777576446533203,-2,3,95,"[-1, -1, 2, 1, 2, 1, -2, 1, 2]"
27,bnb_dfs,0.0009982585906982422,-3,4,295,"[-1, -2, 1, 1, -2, -1, -1, -1, 2]"
28,bnb_dfs,0.003599882125854492,-3,4,1236,"[-1, -2, -1, -1, -2, 1, 1, 1, 2]"
29,bnb_dfs,0.003293275833129883,-3,4,948,"[-1, -1, 2, 2, -1, -1, -2, 1, -2]"
30,bnb_dfs,0.0008192062377929688,-3,3,244,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
31,bnb_dfs,0.0028352737426757812,-4,5,794,"[-1, -2, 1, 1, -2, -1, -1, -1, 2]"
32,bnb_dfs,0.0031175613403320312,-3,4,903,"[-1, -1, 2, 1, 1, 2, 1, -2, -2]"
33,bnb_dfs,0.0002219676971435547,0,1,79,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
34,bnb_dfs,0.004128694534301758,-2,3,1577,"[-1, -2, 1, 1, 2, 2, 2, -1, -2]"
35,bnb_dfs,0.0022423267364501953,-3,4,685,"[-1, -1, 2, -1, 2, -1, -2, -2, 1]"
36,bnb_dfs,0.0008633136749267578,-3,4,293,"[-1, -1, 2, 1, 1, 1, 1, -2, -1]"
37,bnb_dfs,0.0007603168487548828,-3,3,228,"[-1, -1, 2, -1, 2, 1, 1, -2, 1]"
38,bnb_dfs,8.749961853027344e-05,-2,3,34,"[-1, -2, 1, 1, 2, 2, 2, 2, 2]"
39,bnb_dfs,0.0006718635559082031,-2,3,222,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
40,bnb_dfs,8.869171142578125e-05,0,1,32,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
41,bnb_dfs,0.00014019012451171875,-2,2,43,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
42,bnb_dfs,0.0024542808532714844,-4,5,782,"[-1, -1, 2, 1, 2, 2, 1, -2, -2]"
43,bnb_dfs,0.00042939186096191406,-2,3,128,"[-1, -1, 2, 2, -1, -2, -2, -1, 2]"
44,bnb_dfs,0.0007455348968505859,-1,2,213,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
45,bnb_dfs,0.0014696121215820312,0,1,576,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
46,bnb_dfs,0.00027060508728027344,-3,4,96,"[-1, -1, 2, 1, 2, 1, -2, 1, 2]"
47,bnb_dfs,5.2928924560546875e-05,-1,2,22,"[-1, -1, 2, 1, 2, 2, 2, 2, 2]"
48,bnb_dfs,0.005877494812011719,-2,3,1577,"[-1, -1, 2, 2, 2, 1, 1, -2, -1]"
49,bnb_dfs,0.001058816909790039,-3,4,302,"[-1, -2, -1, -2, 1, 1, 2, 1, 2]"
50,bnb_dfs,0.0010955333709716797,-3,4,392,"[-1, -1, 2, 1, 2, 1, 1, -2, -1]"
51,bnb_dfs,0.004130840301513672,-2,3,1577,"[-1, -2, -1, -1, -2, 1, 1, 1, 2]"
52,bnb_dfs,0.00029349327087402344,-3,3,98,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
53,bnb_dfs,0.00410151481628418,-1,2,1576,"[-1, -1, 2, 2, 2, -1, -2, -2, -2]"
54,bnb_dfs,0.0006928443908691406,-2,3,222,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
55,bnb_dfs,0.0025811195373535156,-3,4,865,"[-1, -1, -1, 2, 2, 1, 1, -2, -1]"
56,bnb_dfs,4.38690185546875e-05,0,1,16,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
57,bnb_dfs,0.001033782958984375,-2,3,405,"[-1, -2, -1, 2, 2, 2, 1, -2, 1]"
58,bnb_dfs,0.0008490085601806641,-3,4,242,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
59,bnb_dfs,0.00043201446533203125,-2,2,163,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
