protein_id,algorithm,time,score,checked,placed,hash
0,dfs_bnb,0.6501848697662354,-9,10,170127,"[-1, -1, 2, -1, 2, -1, 2, -1, 2, 2, 1, -2, 1, -2, 1, -2, 1, -2, 1]"
1,dfs_bnb,0.9483232498168945,-7,8,259616,"[-1, -1, 2, 2, 2, 1, -2, 1, 2, 2, -1, -1, -1, -2, -2, -2, -1, -2, 1]"
2,dfs_bnb,0.32766294479370117,-2,3,90584,"[-1, -1, 2, 2, 2, 2, 2, 2, 1, -2, 1, 1, -2, -1, -1, -2, 1, 1, 1]"
3,dfs_bnb,0.5606100559234619,-9,10,148318,"[-1, -2, 1, 1, 2, 1, 2, -1, -1, 2, 1, 1, 1, -2, -2, -2, -1, -2, -1]"
4,dfs_bnb,0.1400465965270996,-7,8,37109,"[-1, -1, 2, 1, 1, 1, -2, -2, -1, -1, -2, 1, -2, -2, 1, 2, 1, 2, -1]"
5,dfs_bnb,2.6920626163482666,-10,11,679471,"[-1, -2, 1, 1, 2, 2, 1, 2, 2, -1, 2, -1, -2, -1, -2, -2, 1, 2, 1]"
6,dfs_bnb,0.17509198188781738,-7,8,45963,"[-1, -1, -1, 2, 1, 2, 2, 1, 2, 1, -2, -2, -1, -2, 1, 1, 2, 2, 2]"
7,dfs_bnb,3.4888293743133545,-5,5,756761,"[-1, -1, 2, 2, 2, 2, 1, 1, -2, -1, -2, 1, 1, 2, 2, 2, 1, -2, 1]"
8,dfs_bnb,1.1395435333251953,-11,12,282983,"[-1, -2, 1, 1, -2, -1, -2, -1, 2, -1, -2, -2, -1, 2, 2, 2, 2, 1, -2]"
9,dfs_bnb,0.28183579444885254,-7,8,70357,"[-1, -1, 2, -1, -2, -1, 2, 2, -1, -2, -1, -2, 1, -2, -2, 1, 2, 1, 1]"
10,dfs_bnb,2.9751627445220947,-9,10,726294,"[-1, -1, -1, 2, -1, 2, -1, 2, 1, 1, -2, 1, 2, 1, -2, 1, -2, -1, -1]"
11,dfs_bnb,0.13843441009521484,-9,10,33087,"[-1, -1, 2, 1, 1, 2, -1, 2, -1, -2, -1, 2, 2, 1, 2, 1, 1, -2, -1]"
12,dfs_bnb,1.4152674674987793,-6,7,365460,"[-1, -1, 2, 2, 2, 1, -2, -2, 1, 2, 2, 1, 2, -1, 2, 2, -1, -2, -2]"
13,dfs_bnb,12.412970781326294,-8,9,2710451,"[-1, -2, -1, 2, -1, 2, 1, 2, 2, 1, 2, 2, 1, -2, -2, -2, -1, -2, 1]"
14,dfs_bnb,2.7864418029785156,-8,9,722664,"[-1, -2, -2, -1, -1, 2, 2, 2, 2, 1, 1, 1, 1, -2, -1, -1, -1, -2, -2]"
15,dfs_bnb,6.134849548339844,-6,7,1741600,"[-1, -2, 1, 1, 1, -2, -1, -1, -1, -1, 2, 2, 2, 1, 1, 2, 1, -2, -2]"
16,dfs_bnb,4.319230318069458,-7,8,1048404,"[-1, -1, 2, 2, 2, 1, 1, -2, -1, -2, 1, 1, 2, 1, 2, -1, 2, -1, -1]"
17,dfs_bnb,17.880231857299805,-6,7,5050625,"[-1, -1, 2, 2, -1, -1, 2, -1, -2, -2, -2, 1, -2, -2, 1, 2, 2, 2, -1]"
18,dfs_bnb,2.1146514415740967,-8,9,468980,"[-1, -1, 2, 2, 2, -1, -2, -2, -1, -2, 1, -2, 1, 1, -2, -1, -1, -1, 2]"
19,dfs_bnb,0.013276338577270508,-2,3,1774,"[-1, -1, 2, 1, 2, 2, -1, -2, -1, -2, -1, 2, 2, 2, 2, 2, 2, 2, 2]"
